"X","Y","DateTime"
"1042.9","692.8","291962980599"
"1051.6","703.2","291962988899"
"1056.8","716.6","291962997297"
"1082.1","739.4","291963005739"
"1034.2","706.9","291963014009"
"1034.7","693.5","291963022392"
"1044.8","700.1","291963030691"
"1109.9","728.1","291963038975"
"1148.9","732.5","291963047310"
"1184.0","735.4","291963055621"
"1202.2","732.5","291963063994"
"1209.6","736.3","291963072322"
"1215.5","737.3","291963080667"
"1218.8","747.6","291963088946"
"1216.3","750.7","291963097285"
"1209.5","732.4","291963105545"
"1212.6","713.7","291963113878"
"1240.0","693.8","291963122274"
"1242.0","715.9","291963130612"
"1221.7","717.1","291963138897"
"1206.3","742.1","291963147291"
"1204.0","726.1","291963155660"
"1232.0","736.9","291963163951"
"1242.7","712.1","291963172257"
"1244.9","722.4","291963180600"
"1227.0","708.1","291963188976"
"1210.1","723.6","291963197347"
"1201.1","726.4","291963205579"
"1210.8","676.4","291963213978"
"1209.6","696.7","291963222265"
"1182.1","705.0","291963230657"
"1197.5","728.2","291963238934"
"1191.7","756.9","291963247306"
"1214.0","772.0","291963255649"
"1191.4","771.3","291963263976"
"1156.1","710.5","291963272275"
"1100.7","685.0","291963280655"
"1071.2","705.2","291963288897"
"1061.3","681.9","291963297270"
"1067.6","727.0","291963305617"
"1060.6","682.2","291963313922"
"1068.8","689.3","291963322192"
"1068.8","679.7","291963330561"
"1034.3","668.4","291963338960"
"1015.3","685.2","291963347298"
"1037.7","673.2","291963355579"
"1047.8","707.7","291963363935"
"1052.1","696.8","291963372192"
"1043.4","674.1","291963380607"
"1072.5","672.7","291963388902"
"1050.4","682.7","291963397281"
"1070.8","698.7","291963405553"
"1061.7","704.9","291963413972"
"1059.1","685.5","291963422338"
"1059.1","685.5","291963430619"
"1079.0","719.5","291963438948"
"1050.4","724.4","291963447363"
"1062.1","714.8","291963455541"
"1062.0","715.3","291963463943"
"1043.3","660.1","291963472212"
"1063.9","707.9","291963480549"
"1051.8","700.5","291963488917"
"1039.8","751.9","291963497298"
"1050.1","744.6","291963505528"
"1065.2","747.5","291963513933"
"1079.5","685.3","291963522216"
"1078.3","689.5","291963530606"
"1049.7","705.5","291963538891"
"1049.5","705.7","291963547336"
"1067.4","694.0","291963555569"
"1095.0","701.0","291963563906"
"1096.5","711.0","291963572282"
"1074.9","697.9","291963580567"
"1049.9","687.0","291963588849"
"1060.7","694.5","291963597258"
"1060.7","694.5","291963605564"
"1057.5","710.7","291963613797"
"1053.7","691.5","291963622229"
"1063.4","719.1","291963630596"
"1027.8","654.3","291963638888"
"1047.7","684.1","291963647326"
"1033.5","664.0","291963655529"
"1055.4","717.1","291963663927"
"1055.9","717.0","291963672289"
"1066.8","700.8","291963680588"
"1060.9","698.5","291963688885"
"1060.0","717.3","291963697246"
"1044.8","677.5","291963705492"
"1050.8","687.0","291963713920"
"1043.3","692.0","291963722119"
"1080.9","720.5","291963730489"
"1127.5","738.4","291963738858"
"1178.1","751.8","291963747240"
"1198.7","747.2","291963755538"
"1200.2","726.9","291963763926"
"1211.1","747.6","291963772273"
"1204.8","741.4","291963780604"
"1151.4","724.6","291963788876"
"1141.1","728.9","291963797148"
"1155.6","745.9","291963805485"
"1214.2","779.3","291963813891"
"1223.1","766.2","291963822210"
"1217.4","754.9","291963830616"
"1207.7","744.4","291963838901"
"1197.5","756.2","291963847232"
"1205.1","749.4","291963855508"
"1202.0","760.5","291963863924"
"1214.0","767.4","291963872260"
"1223.5","758.7","291963880452"
"1242.6","764.0","291963888840"
"1238.3","773.5","291963897205"
"1238.0","777.7","291963905611"
"1228.7","776.4","291963914038"
"1222.1","779.2","291963922401"
"1212.3","762.9","291963930665"
"1218.0","761.1","291963938877"
"1219.9","765.9","291963947271"
"1216.4","731.4","291963955610"
"1215.2","727.9","291963963983"
"1206.1","752.1","291963972324"
"1223.2","742.4","291963980551"
"1220.6","743.5","291963988915"
"1203.1","742.6","291963997255"
"1210.9","764.1","291964005649"
"1216.5","751.1","291964013972"
"1221.3","753.6","291964022388"
"1204.2","738.3","291964030535"
"1197.7","732.2","291964038856"
"1173.8","684.5","291964047291"
"1103.6","554.4","291964055566"
"1087.6","536.2","291964063949"
"1060.6","521.8","291964072209"
"1052.8","495.6","291964080628"
"1060.7","468.9","291964088990"
"1083.1","452.8","291964097284"
"1079.9","439.3","291964105758"
"1122.3","438.9","291964113961"
"1121.0","429.9","291964122302"
"1115.9","432.5","291964130653"
"1113.2","417.8","291964139022"
"1106.7","421.9","291964147318"
"1107.9","418.8","291964155513"
"1108.3","445.3","291964163950"
"1112.5","469.0","291964172211"
"1122.3","472.1","291964180622"
"1134.7","472.9","291964188895"
"1121.8","442.9","291964197283"
"1117.2","448.7","291964205532"
"1123.8","434.5","291964214003"
"1125.5","433.6","291964222169"
"1114.5","448.3","291964230639"
"1096.3","461.1","291964238845"
"1088.0","491.1","291964247195"
"1084.5","485.4","291964255523"
"1074.9","474.9","291964263876"
"1074.7","472.0","291964272264"
"1100.2","465.1","291964280512"
"1117.2","458.3","291964288917"
"1111.8","474.5","291964297251"
"1106.9","455.1","291964305497"
"1094.1","456.8","291964315245"
"1103.6","431.8","291964322140"
"1099.7","413.8","291964330538"
"1116.8","426.1","291964338872"
"1114.4","439.4","291964347270"
"1123.7","474.8","291964355637"
"1107.6","472.0","291964363990"
